assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition of recombinant human AChE assessed as inhibition constant for enzyme-substrate-inhbitor complex using acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by spectrophotometry based Lineweaver-Burk plot analysis,CHEMBL4354814,CHEMBL4456083,nM,206.0,nM,206.0,"{'alogp': '8.61', 'aromatic_rings': 5, 'full_molformula': 'C40H49N5O2', 'full_mwt': '631.87', 'hba': 6, 'hbd': 1, 'heavy_atoms': 47, 'mw_freebase': '631.87', 'np_likeness_score': '-1.41', 'num_ro5_violations': 2, 'psa': '72.28', 'qed_weighted': '0.12', 'ro3_pass': 'N', 'rtb': 15}",6.686132779630847
Inhibition of recombinant human AChE assessed as inhibition constant for enzyme-inhibitor complex using acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by spectrophotometry based Lineweaver-Burk plot analysis,CHEMBL4354814,CHEMBL4441666,nM,3.71,nM,3.71,"{'alogp': '7.73', 'aromatic_rings': 5, 'full_molformula': 'C38H45N5O2', 'full_mwt': '603.81', 'hba': 6, 'hbd': 2, 'heavy_atoms': 45, 'mw_freebase': '603.81', 'np_likeness_score': '-1.26', 'num_ro5_violations': 2, 'psa': '81.07', 'qed_weighted': '0.13', 'ro3_pass': 'N', 'rtb': 13}",8.430626090384955
Inhibition of recombinant human AChE assessed as inhibition constant for enzyme-substrate-inhbitor complex using acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by spectrophotometry based Lineweaver-Burk plot analysis,CHEMBL4354814,CHEMBL4441666,nM,7.17,nM,7.17,"{'alogp': '7.73', 'aromatic_rings': 5, 'full_molformula': 'C38H45N5O2', 'full_mwt': '603.81', 'hba': 6, 'hbd': 2, 'heavy_atoms': 45, 'mw_freebase': '603.81', 'np_likeness_score': '-1.26', 'num_ro5_violations': 2, 'psa': '81.07', 'qed_weighted': '0.13', 'ro3_pass': 'N', 'rtb': 13}",8.1444808443322
Inhibition of recombinant human AChE assessed as inhibition constant for enzyme-inhibitor complex using acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by spectrophotometry based Lineweaver-Burk plot analysis,CHEMBL4354814,CHEMBL4447210,nM,16.7,nM,16.7,"{'alogp': '8.72', 'aromatic_rings': 5, 'full_molformula': 'C39H47N5O2S2', 'full_mwt': '681.97', 'hba': 8, 'hbd': 2, 'heavy_atoms': 48, 'mw_freebase': '681.97', 'np_likeness_score': '-1.15', 'num_ro5_violations': 2, 'psa': '81.07', 'qed_weighted': '0.08', 'ro3_pass': 'N', 'rtb': 16}",7.777283528852417
Inhibition of recombinant human AChE assessed as inhibition constant for enzyme-substrate-inhbitor complex using acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by spectrophotometry based Lineweaver-Burk plot analysis,CHEMBL4354814,CHEMBL4447210,nM,27.9,nM,27.9,"{'alogp': '8.72', 'aromatic_rings': 5, 'full_molformula': 'C39H47N5O2S2', 'full_mwt': '681.97', 'hba': 8, 'hbd': 2, 'heavy_atoms': 48, 'mw_freebase': '681.97', 'np_likeness_score': '-1.15', 'num_ro5_violations': 2, 'psa': '81.07', 'qed_weighted': '0.08', 'ro3_pass': 'N', 'rtb': 16}",7.554395796726403
Non-competitive inhibition of recombinant human AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk plot analysis,CHEMBL4373738,CHEMBL4474399,nM,129.0,nM,129.0,"{'alogp': '6.19', 'aromatic_rings': 3, 'full_molformula': 'C27H33NO3', 'full_mwt': '419.57', 'hba': 4, 'hbd': 0, 'heavy_atoms': 31, 'mw_freebase': '419.57', 'np_likeness_score': '-0.42', 'num_ro5_violations': 1, 'psa': '42.68', 'qed_weighted': '0.39', 'ro3_pass': 'N', 'rtb': 9}",6.889410289700751
Non-competitive inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate preincubated for 10 mins followed by substrate addition and measured for 6 mins by Dixon plot analysis,CHEMBL4433202,CHEMBL4583534,nM,100.0,uM,0.1,"{'alogp': '4.46', 'aromatic_rings': 2, 'full_molformula': 'C20H23F3N2', 'full_mwt': '348.41', 'hba': 2, 'hbd': 1, 'heavy_atoms': 25, 'mw_freebase': '348.41', 'np_likeness_score': '-1.30', 'num_ro5_violations': 0, 'psa': '15.27', 'qed_weighted': '0.86', 'ro3_pass': 'N', 'rtb': 5}",7.0
Mixed type inhibition of human AChE using acetylthiocholineiodide as substrate measured for every 30 sec for 5 mins by Ellman's method,CHEMBL4613305,CHEMBL4648322,nM,19.1,nM,19.1,"{'alogp': '4.10', 'aromatic_rings': 3, 'full_molformula': 'C25H28N2O5', 'full_mwt': '436.51', 'hba': 6, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '436.51', 'np_likeness_score': '-0.39', 'num_ro5_violations': 0, 'psa': '89.80', 'qed_weighted': '0.54', 'ro3_pass': 'N', 'rtb': 7}",7.718966632752273
Mixed type inhibition of human AChE using acetylthiocholineiodide as substrate measured for every 30 sec for 5 mins by Ellman's method,CHEMBL4613305,CHEMBL2314726,nM,93.4,nM,93.4,"{'alogp': '4.10', 'aromatic_rings': 3, 'full_molformula': 'C25H28N2O5', 'full_mwt': '436.51', 'hba': 6, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '436.51', 'np_likeness_score': '-0.39', 'num_ro5_violations': 0, 'psa': '89.80', 'qed_weighted': '0.54', 'ro3_pass': 'N', 'rtb': 7}",7.029653123769907
Mixed type inhibition of human AChE using acetylthiocholineiodide as substrate measured for every 30 sec for 5 mins by Ellman's method,CHEMBL4613305,CHEMBL2314726,nM,46.6,nM,46.6,"{'alogp': '4.10', 'aromatic_rings': 3, 'full_molformula': 'C25H28N2O5', 'full_mwt': '436.51', 'hba': 6, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '436.51', 'np_likeness_score': '-0.39', 'num_ro5_violations': 0, 'psa': '89.80', 'qed_weighted': '0.54', 'ro3_pass': 'N', 'rtb': 7}",7.33161408331
Mixed type inhibition of human erythrocytes AChE using varying levels of acetylthiocholine iodide substrate by Dixon plot analysis,CHEMBL4665668,CHEMBL4759108,nM,30.0,uM,0.03,"{'alogp': '2.74', 'aromatic_rings': 3, 'full_molformula': 'C17H15F2N5O', 'full_mwt': '343.34', 'hba': 6, 'hbd': 0, 'heavy_atoms': 25, 'mw_freebase': '343.34', 'np_likeness_score': '-2.19', 'num_ro5_violations': 0, 'psa': '58.29', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 3}",7.522878745280337
Inhibition of human erythrocyte acetylcholinesterase using acetylthiocholine as substrate by Ellman's colorimetric method,CHEMBL4673260,CHEMBL4792387,nM,51000.0,uM,51.0,"{'alogp': '3.30', 'aromatic_rings': 2, 'full_molformula': 'C16H19N3', 'full_mwt': '253.35', 'hba': 3, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '253.35', 'np_likeness_score': '-0.65', 'num_ro5_violations': 0, 'psa': '29.02', 'qed_weighted': '0.82', 'ro3_pass': 'N', 'rtb': 2}",4.292429823902063
Non-competitive inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate at 0.15 to 0.6 uM preincubated for 10 mins followed by substrate addition and measured for 10 mins by Ellman's method based Line-weaver Burk plot analysis,CHEMBL4699439,CHEMBL4760940,nM,170.0,uM,0.17,"{'alogp': '3.42', 'aromatic_rings': 4, 'full_molformula': 'C16H11N5O', 'full_mwt': '289.30', 'hba': 6, 'hbd': 1, 'heavy_atoms': 22, 'mw_freebase': '289.30', 'np_likeness_score': '-1.49', 'num_ro5_violations': 0, 'psa': '76.73', 'qed_weighted': '0.62', 'ro3_pass': 'N', 'rtb': 3}",6.769551078621726
Mixed type inhibition of human AChE assessed as dissociation constant using varying level acetylthiocholine iodide as substrate by Dixon plot analysis,CHEMBL4699547,CHEMBL4793341,nM,23.0,uM,0.023,"{'alogp': '3.95', 'aromatic_rings': 2, 'full_molformula': 'C19H21F3N2O', 'full_mwt': '350.38', 'hba': 3, 'hbd': 1, 'heavy_atoms': 25, 'mw_freebase': '350.38', 'np_likeness_score': '-1.44', 'num_ro5_violations': 0, 'psa': '24.50', 'qed_weighted': '0.85', 'ro3_pass': 'N', 'rtb': 6}",7.638272163982407
Noncompetitive inhibition of human acetylcholinesterase assessed as affinity towards free enzyme using acetylthiocholine iodide as substrate measured by Ellman's method based Lineweaver-Burk plot analysis,CHEMBL4706517,CHEMBL4752175,nM,0.456,nM,0.456,"{'alogp': '5.69', 'aromatic_rings': 4, 'full_molformula': 'C27H21BrF3NO4', 'full_mwt': '560.37', 'hba': 4, 'hbd': 0, 'heavy_atoms': 35, 'mw_freebase': '480.46', 'np_likeness_score': '0.51', 'num_ro5_violations': 1, 'psa': '40.80', 'qed_weighted': '0.35', 'ro3_pass': 'N', 'rtb': 4}",9.341035157335565
Non-competitive inhibition of recombinant human AChE assessed as decrease in Vmax with constant Km using varying level of acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured every minute for 10 mins by Lineweaver-Burk plot analysis,CHEMBL4706581,CHEMBL4790545,nM,210.0,uM,0.21,"{'alogp': '4.88', 'aromatic_rings': 3, 'full_molformula': 'C26H30N2O2', 'full_mwt': '402.54', 'hba': 3, 'hbd': 1, 'heavy_atoms': 30, 'mw_freebase': '402.54', 'np_likeness_score': '-1.01', 'num_ro5_violations': 0, 'psa': '41.57', 'qed_weighted': '0.61', 'ro3_pass': 'N', 'rtb': 7}",6.6777807052660805
Mixed-type inhibition of recombinant human AChE assessed as inhibition constant using acetylthiocholine iodide as substrate by Cornish-Bowden plot analysis,CHEMBL4706642,CHEMBL4754487,nM,0.68,nM,0.68,"{'alogp': '7.28', 'aromatic_rings': 3, 'full_molformula': 'C32H38ClN3O3', 'full_mwt': '548.13', 'hba': 5, 'hbd': 3, 'heavy_atoms': 39, 'mw_freebase': '548.13', 'np_likeness_score': '-0.13', 'num_ro5_violations': 2, 'psa': '83.48', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 11}",9.167491087293763
Mixed-type inhibition of recombinant human AChE assessed as dissociation constant for protein-substrate-compound complex using acetylthiocholine iodide as substrate by Cornish-Bowden plot analysis,CHEMBL4706642,CHEMBL4754487,nM,0.94,nM,0.94,"{'alogp': '7.28', 'aromatic_rings': 3, 'full_molformula': 'C32H38ClN3O3', 'full_mwt': '548.13', 'hba': 5, 'hbd': 3, 'heavy_atoms': 39, 'mw_freebase': '548.13', 'np_likeness_score': '-0.13', 'num_ro5_violations': 2, 'psa': '83.48', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 11}",9.0268721464003
Mixed inhibition of recombinant human AChE expressed in HEK293 cells assessed as dissociation constant for enzyme-inhibitor complex using varying levels of acetylthiocholine iodide as substrate preincubated for 15 mins followed by substrate addition by Line-weaver Burk plot analysis,CHEMBL4725294,CHEMBL4751100,nM,0.132,pM,132.0,"{'alogp': '8.00', 'aromatic_rings': 3, 'full_molformula': 'C34H46ClN3O3', 'full_mwt': '580.21', 'hba': 6, 'hbd': 3, 'heavy_atoms': 41, 'mw_freebase': '580.21', 'np_likeness_score': '0.20', 'num_ro5_violations': 2, 'psa': '75.64', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 14}",9.87942606879415
Mixed inhibition of recombinant human AChE expressed in HEK293 cells assessed as dissociation constant for enzyme-substrate-inhibitor complex using varying levels of acetylthiocholine iodide as substrate preincubated for 15 mins followed by substrate addition by Line-weaver Burk plot analysis,CHEMBL4725294,CHEMBL4751100,nM,0.258,pM,258.0,"{'alogp': '8.00', 'aromatic_rings': 3, 'full_molformula': 'C34H46ClN3O3', 'full_mwt': '580.21', 'hba': 6, 'hbd': 3, 'heavy_atoms': 41, 'mw_freebase': '580.21', 'np_likeness_score': '0.20', 'num_ro5_violations': 2, 'psa': '75.64', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 14}",9.588380294036769
Non-competitive inhibition of AChE in human erythrocytes measured at 2 mins interval for 10 mins by Dixon plot analysis,CHEMBL4732210,CHEMBL4790766,nM,8.0,nM,8.0,"{'alogp': '3.77', 'aromatic_rings': 3, 'full_molformula': 'C28H32ClN5O7S', 'full_mwt': '618.11', 'hba': 10, 'hbd': 1, 'heavy_atoms': 42, 'mw_freebase': '618.11', 'np_likeness_score': '-1.65', 'num_ro5_violations': 1, 'psa': '140.26', 'qed_weighted': '0.35', 'ro3_pass': 'N', 'rtb': 9}",8.096910013008056
Non competitive inhibition of human erythrocyte AChE using varying levels of acetylthiocholine iodide as substrate by Lineweaver-Burk plot analysis,CHEMBL4765271,CHEMBL4800260,nM,500.0,uM,0.5,"{'alogp': '4.99', 'aromatic_rings': 3, 'full_molformula': 'C30H33ClN2O3', 'full_mwt': '505.06', 'hba': 4, 'hbd': 0, 'heavy_atoms': 35, 'mw_freebase': '469.61', 'np_likeness_score': '-0.17', 'num_ro5_violations': 0, 'psa': '38.77', 'qed_weighted': '0.38', 'ro3_pass': 'N', 'rtb': 6}",6.301029995663981
Mixed type inhibition of human erythrocyte AChE using varying levels of acetylthiocholine iodide as substrate by Lineweaver-Burk plot analysis,CHEMBL4765271,CHEMBL4791075,nM,1000.0,uM,1.0,"{'alogp': '5.65', 'aromatic_rings': 3, 'full_molformula': 'C30H32BrClN2O3', 'full_mwt': '583.95', 'hba': 4, 'hbd': 0, 'heavy_atoms': 36, 'mw_freebase': '504.05', 'np_likeness_score': '-0.43', 'num_ro5_violations': 2, 'psa': '38.77', 'qed_weighted': '0.32', 'ro3_pass': 'N', 'rtb': 6}",6.0
Mixed type inhibition of human AChE using acetylthiocholine as substrate by Line-weaver Burk plot analysis,CHEMBL4765274,CHEMBL4783427,nM,394.0,nM,394.0,"{'alogp': '8.53', 'aromatic_rings': 5, 'full_molformula': 'C41H48N2O5', 'full_mwt': '648.84', 'hba': 7, 'hbd': 1, 'heavy_atoms': 48, 'mw_freebase': '648.84', 'np_likeness_score': '-0.08', 'num_ro5_violations': 2, 'psa': '75.38', 'qed_weighted': '0.09', 'ro3_pass': 'N', 'rtb': 19}",6.404503778174426
Competitive inhibition of AChE (unknown origin) using acetylthiocholineiodide substrate,CHEMBL4765338,CHEMBL4789019,10^8M,1.48,10^8M,1.48,"{'alogp': '3.89', 'aromatic_rings': 3, 'full_molformula': 'C16H13Br2NO', 'full_mwt': '395.09', 'hba': 1, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '315.19', 'np_likeness_score': '-0.30', 'num_ro5_violations': 0, 'psa': '13.11', 'qed_weighted': '0.65', 'ro3_pass': 'N', 'rtb': 2}",8.829738284605043
Competitive inhibition of AChE (unknown origin) using acetylthiocholineiodide substrate,CHEMBL4765338,CHEMBL3986155,10^8M,8.86,10^8M,8.86,"{'alogp': '3.78', 'aromatic_rings': 2, 'full_molformula': 'C16H15Br2NO', 'full_mwt': '397.11', 'hba': 1, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '317.21', 'np_likeness_score': '0.27', 'num_ro5_violations': 0, 'psa': '12.24', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 2}",8.05256627811295
Competitive inhibition of human erythrocyte AChE by double reciprocal Lineweaver-Burk plot analysis,CHEMBL4819068,CHEMBL4868687,nM,10100.0,nM,10100.0,"{'alogp': '2.07', 'aromatic_rings': 1, 'full_molformula': 'C12H11F3N2O3', 'full_mwt': '288.23', 'hba': 5, 'hbd': 1, 'heavy_atoms': 20, 'mw_freebase': '288.23', 'np_likeness_score': '-0.98', 'num_ro5_violations': 0, 'psa': '67.76', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 4}",4.995678626217358
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL1995010,nM,389.7,nM,389.7,"{'alogp': '3.62', 'aromatic_rings': 2, 'full_molformula': 'C14H14O2S2', 'full_mwt': '278.40', 'hba': 3, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '278.40', 'np_likeness_score': '-0.86', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 4}",6.409269594207309
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4845755,nM,326.9,nM,326.9,"{'alogp': '3.76', 'aromatic_rings': 2, 'full_molformula': 'C14H13FO2S2', 'full_mwt': '296.39', 'hba': 3, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '296.39', 'np_likeness_score': '-1.21', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 4}",6.485585079419631
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4863431,nM,714.4,nM,714.4,"{'alogp': '4.27', 'aromatic_rings': 2, 'full_molformula': 'C14H13ClO2S2', 'full_mwt': '312.84', 'hba': 3, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '312.84', 'np_likeness_score': '-1.09', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",6.14605855411951
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4867081,nM,251.4,nM,251.4,"{'alogp': '3.53', 'aromatic_rings': 2, 'full_molformula': 'C14H13NO4S2', 'full_mwt': '323.40', 'hba': 5, 'hbd': 0, 'heavy_atoms': 21, 'mw_freebase': '323.40', 'np_likeness_score': '-1.21', 'num_ro5_violations': 0, 'psa': '77.28', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 5}",6.599634726650061
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4858117,nM,165.5,nM,165.5,"{'alogp': '3.49', 'aromatic_rings': 2, 'full_molformula': 'C15H13NO2S2', 'full_mwt': '303.41', 'hba': 4, 'hbd': 0, 'heavy_atoms': 20, 'mw_freebase': '303.41', 'np_likeness_score': '-1.24', 'num_ro5_violations': 0, 'psa': '57.93', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 4}",6.781202001888262
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4868918,nM,147.9,nM,147.9,"{'alogp': '4.64', 'aromatic_rings': 2, 'full_molformula': 'C15H13F3O2S2', 'full_mwt': '346.40', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '346.40', 'np_likeness_score': '-1.11', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.76', 'ro3_pass': 'N', 'rtb': 4}",6.830031826003108
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4860610,nM,198.2,nM,198.2,"{'alogp': '4.52', 'aromatic_rings': 2, 'full_molformula': 'C15H13F3O3S2', 'full_mwt': '362.39', 'hba': 4, 'hbd': 0, 'heavy_atoms': 23, 'mw_freebase': '362.39', 'np_likeness_score': '-1.03', 'num_ro5_violations': 0, 'psa': '43.37', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 5}",6.702896349850744
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4875944,nM,218.7,nM,218.7,"{'alogp': '3.63', 'aromatic_rings': 2, 'full_molformula': 'C15H16O3S2', 'full_mwt': '308.42', 'hba': 4, 'hbd': 0, 'heavy_atoms': 20, 'mw_freebase': '308.42', 'np_likeness_score': '-0.77', 'num_ro5_violations': 0, 'psa': '43.37', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 5}",6.660151216962363
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4871975,nM,25.6,nM,25.6,"{'alogp': '4.74', 'aromatic_rings': 2, 'full_molformula': 'C17H20O2S2', 'full_mwt': '320.48', 'hba': 3, 'hbd': 0, 'heavy_atoms': 21, 'mw_freebase': '320.48', 'np_likeness_score': '-0.80', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 5}",7.59176003468815
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated with enzyme for 10 mins followed by substrate addition and measured by Ellman's method,CHEMBL4819136,CHEMBL4852721,nM,157.3,nM,157.3,"{'alogp': '4.91', 'aromatic_rings': 2, 'full_molformula': 'C18H22O2S2', 'full_mwt': '334.51', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '334.51', 'np_likeness_score': '-0.98', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.74', 'ro3_pass': 'N', 'rtb': 4}",6.803271277376713
Non competitive type inhibition of human AChE assessed as inhibition constant using varying levels of acetylthiocholine as substrate by double reciprocal Lineweaver-Burk plot analysis,CHEMBL4819137,CHEMBL4856400,nM,23.01,nM,23.01,"{'alogp': '7.02', 'aromatic_rings': 4, 'full_molformula': 'C34H42Cl3N5O', 'full_mwt': '643.10', 'hba': 4, 'hbd': 4, 'heavy_atoms': 41, 'mw_freebase': '570.18', 'np_likeness_score': '-0.08', 'num_ro5_violations': 2, 'psa': '95.83', 'qed_weighted': '0.12', 'ro3_pass': 'N', 'rtb': 11}",7.638083381331357
Displacement of [3H]NMS from human acetyl cholinesterase receptor expressed in CHO cell membranes incubated for 3 hrs by radiometric scintillation counting analysis,CHEMBL4837245,CHEMBL4849905,nM,120.0,nM,120.0,"{'alogp': '5.74', 'aromatic_rings': 3, 'full_molformula': 'C28H34N4', 'full_mwt': '426.61', 'hba': 4, 'hbd': 1, 'heavy_atoms': 32, 'mw_freebase': '426.61', 'np_likeness_score': '-0.99', 'num_ro5_violations': 1, 'psa': '41.05', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 6}",6.920818753952375
